s77779_fo_Us, us_err, T, T_err, R, R_err, P, P_err 
12.3,0.12390611,5505.0703,485.81104,0.015694901,0.0031389804,0.211640788862,0.0186029269321,
12.4,0.12390611,5832.0483,478.95404,0.013758969,0.0027517937,0.214895484948,0.0183134505417,
12.5,0.12390611,5666.3105,529.40955,0.012467425,0.0024934851,0.21994836361,0.0173385939808,
12.6,0.12390611,5781.7969,492.13724,0.021190092,0.0042380183,0.224883654856,0.0188443756338,
12.7,0.12390611,6040.1255,497.47406,0.021323621,0.0042647244,0.22971077618,0.0197324863148,
12.8,0.12390611,6026.6045,531.90588,0.017176297,0.0034352592,0.234407216811,0.0184420986118,
12.9,0.12390611,6401.5015,513.84338,0.014882963,0.0029765926,0.238927725201,0.0194647089022,
13.0,0.12390611,6674.0786,462.30429,0.014950381,0.0029900761,0.243352791966,0.0187161228653,
13.1,0.12390611,6077.3477,475.65213,0.016245294,0.003249059,0.249141849623,0.0190832255001,
13.2,0.12390611,6128.394,513.63898,0.012452964,0.0024905927,0.254430720983,0.0192900902225,
13.3,0.12390611,6554.5771,494.27591,0.014854048,0.0029708096,0.258806270544,0.019698353147,
13.4,0.12390611,7202.6299,548.44562,0.015699424,0.0031398847,0.263645690281,0.0205151577585,
13.5,0.12390611,7019.4907,519.70306,0.016500659,0.0033001318,0.268073410369,0.0202820642418,
13.6,0.12390611,7093.5654,479.87347,0.016185088,0.0032370177,0.275429879263,0.0193668790325,
13.7,0.12390611,7265.8359,518.08661,0.016020326,0.0032040651,0.279915325499,0.0218697166446,
13.8,0.12390611,7503.395,528.34583,0.018336438,0.0036672875,0.284442622117,0.019988533868,
13.9,0.12390611,7971.3403,478.5484,0.018582623,0.0037165247,0.290568485301,0.020846456745,
14.0,0.12390611,7994.7036,491.57422,0.021158211,0.004231642,0.294293837045,0.0210886768014,
14.1,0.12390611,8208.5996,545.43091,0.022787454,0.0045574908,0.30012065528,0.0210322628334,
14.2,0.12390611,8312.7188,500.82959,0.021104269,0.0042208536,0.304777477387,0.020420269706,
14.3,0.12390611,8630.4941,490.67856,0.01557323,0.0031146458,0.31146627055,0.0215790521038,
14.4,0.12390611,8707.2646,523.29083,0.015293679,0.0030587357,0.317058397727,0.0213080019698,
14.5,0.12390611,9042.1875,532.88721,0.017815076,0.0035630153,0.322730328521,0.020869028265,
14.6,0.12390611,8999.7549,583.07013,0.018880175,0.003776035,0.327574214683,0.0216548988298,
14.7,0.12390611,9092.2012,524.28772,0.018314861,0.0036629722,0.333043918663,0.0203422411413,
14.8,0.12390611,9252.1709,604.13837,0.019233769,0.0038467539,0.340002198159,0.0213505561114,
14.9,0.12390611,9480.1768,545.0636,0.019731242,0.0039462484,0.345221195298,0.022129158497,
15.0,0.12390611,9881.4209,619.35474,0.02328383,0.0046567661,0.350780977178,0.0232366782285,
15.1,0.12390611,10075.334,543.93616,0.023517124,0.0047034249,0.357761466154,0.0225809118308,
15.2,0.12390611,10363.093,583.49042,0.026188601,0.00523772,0.362239430493,0.0212826136969,
15.3,0.12390611,10352.617,532.7417,0.035673078,0.0071346154,0.371251068639,0.0235270440364,
15.4,0.12390611,10809.379,621.23425,0.025012391,0.0050024781,0.375616895186,0.0210645874117,
15.5,0.12390611,11136.439,582.46704,0.024680577,0.0049361154,0.380049965211,0.0224113005094,
15.6,0.12390611,11352.562,520.01483,0.021519743,0.0043039485,0.38645063873,0.0221491076209,
15.7,0.12390611,11333.438,681.94611,0.030074112,0.0060148225,0.393598463058,0.0227980512181,
15.8,0.12390611,11629.311,723.77417,0.028033458,0.0056066914,0.399414475897,0.0220666588806,
15.9,0.12390611,11778.6,707.25397,0.029890344,0.0059780688,0.404719731941,0.0212502390097,
16.0,0.12390611,12215.414,664.07941,0.029383771,0.0058767544,0.411317814414,0.0213924378425,
16.1,0.12390611,12323.976,604.3067,0.032180678,0.0064361356,0.417807454016,0.0225900399309,
16.200001,0.12390611,12448.798,666.37982,0.033433247,0.0066866493,0.425645784083,0.0219474006515,
16.299999,0.12390611,12902.327,692.26227,0.035240725,0.0070481449,0.431869869112,0.0228229779667,
16.4,0.12390611,12751.07,748.26471,0.036572229,0.0073144459,0.439640071023,0.0237864823813,
16.5,0.12390611,13080.213,652.35443,0.039225955,0.0078451913,0.4437400948,0.0232769811586,
16.6,0.12390611,13602.24,744.20734,0.037439827,0.0074879653,0.453997521717,0.0232842952265,
16.700001,0.12390611,13617.65,686.55389,0.041914865,0.0083829733,0.459567160049,0.0244246360224,
16.799999,0.12390611,13616.894,741.7243,0.035390083,0.0070780166,0.466051604958,0.0243363215565,
16.9,0.12390611,13991.212,847.65039,0.04223616,0.0084472317,0.472636316512,0.0239407835691,
17.0,0.12390611,14213.483,708.65533,0.042471696,0.008494339,0.480484333432,0.0254518027807,
17.1,0.12390611,14471.275,761.5614,0.039635371,0.0079270741,0.486739215037,0.0247124432822,
17.200001,0.12390611,14716.645,824.27509,0.05223009,0.010446018,0.49343974943,0.0234318908625,
17.299999,0.12390611,14884.899,862.38599,0.056571517,0.011314304,0.500594906797,0.0252292197262,
17.4,0.12390611,15134.512,875.05463,0.061352123,0.012270425,0.508753962368,0.0262464622658,
17.5,0.12390611,15367.852,893.76929,0.074132316,0.014826464,0.515809099382,0.0248717075126,
17.6,0.12390611,15721.357,757.10156,0.069753028,0.013950606,0.522944792011,0.0254111908438,
